iter	Passed	Remaining
0	136	136285
1	141	70377
2	143	47751
3	146	36381
4	148	29463
5	151	25040
6	152	21689
7	154	19136
8	156	17187
9	157	15595
10	158	14268
11	165	13593
12	166	12647
13	167	11821
14	168	11093
15	170	10461
16	171	9901
17	172	9404
18	173	8977
19	175	8582
20	176	8230
21	177	7901
22	179	7614
23	180	7340
24	181	7093
25	183	6856
26	184	6630
27	185	6427
28	186	6233
29	187	6077
30	189	5927
31	191	5782
32	192	5637
33	193	5497
34	194	5361
35	195	5236
36	196	5117
37	197	5003
38	198	4894
39	199	4789
40	200	4696
41	202	4614
42	203	4528
43	205	4459
44	206	4383
45	207	4307
46	208	4234
47	209	4162
48	210	4093
49	212	4029
50	213	3965
51	214	3916
52	215	3858
53	217	3808
54	218	3753
55	219	3701
56	220	3652
57	221	3603
58	222	3553
59	223	3505
60	224	3462
61	225	3418
62	227	3381
63	229	3357
64	230	3321
65	232	3283
66	233	3247
67	234	3213
68	235	3180
69	236	3143
70	237	3109
71	238	3075
72	239	3044
73	240	3012
74	241	2981
75	242	2951
76	244	2925
77	245	2906
78	246	2878
79	247	2850
80	249	2825
81	250	2800
82	250	2769
83	251	2744
84	252	2720
85	253	2697
86	254	2674
87	255	2651
88	257	2630
89	258	2610
90	259	2589
91	260	2571
92	261	2551
93	262	2533
94	264	2515
95	265	2496
96	266	2477
97	267	2458
98	268	2440
99	269	2422
100	270	2406
101	271	2389
102	272	2374
103	273	2358
104	275	2345
105	276	2330
106	277	2316
107	278	2303
108	279	2287
109	280	2272
110	281	2257
111	282	2243
112	283	2229
113	284	2214
114	286	2201
115	288	2194
116	289	2185
117	291	2175
118	292	2164
119	293	2153
120	294	2141
121	295	2129
122	297	2119
123	298	2106
124	299	2093
125	300	2082
126	301	2070
127	302	2061
128	304	2056
129	305	2046
130	306	2035
131	307	2024
132	308	2013
133	310	2003
134	311	1993
135	312	1983
136	313	1973
137	314	1963
138	315	1955
139	317	1947
140	318	1942
141	319	1930
142	320	1921
143	321	1911
144	322	1901
145	323	1891
146	324	1883
147	325	1874
148	326	1866
149	327	1857
150	328	1848
151	330	1842
152	331	1835
153	333	1833
154	334	1826
155	335	1817
156	337	1810
157	338	1803
158	339	1796
159	340	1789
160	341	1781
161	342	1773
162	343	1765
163	345	1759
164	346	1755
165	348	1748
166	349	1742
167	350	1735
168	351	1728
169	352	1721
170	353	1714
171	354	1707
172	355	1700
173	356	1694
174	357	1687
175	359	1680
176	360	1675
177	361	1670
178	362	1664
179	363	1658
180	365	1652
181	366	1646
182	367	1640
183	368	1633
184	369	1627
185	370	1621
186	371	1615
187	372	1608
188	374	1608
189	376	1603
190	377	1598
191	378	1592
192	379	1587
193	380	1582
194	381	1576
195	382	1570
196	383	1564
197	384	1559
198	386	1553
199	387	1548
200	388	1542
201	389	1538
202	391	1536
203	392	1530
204	393	1526
205	394	1521
206	395	1515
207	396	1509
208	397	1504
209	398	1498
210	399	1493
211	400	1488
212	401	1483
213	403	1481
214	405	1479
215	407	1478
216	409	1475
217	410	1472
218	411	1467
219	412	1462
220	413	1457
221	414	1452
222	415	1447
223	416	1442
224	417	1437
225	419	1436
226	420	1432
227	421	1427
228	422	1424
229	423	1419
230	425	1415
231	426	1411
232	427	1408
233	429	1404
234	430	1400
235	431	1396
236	432	1393
237	434	1390
238	435	1386
239	436	1383
240	439	1382
241	440	1378
242	441	1374
243	442	1370
244	443	1366
245	444	1362
246	445	1358
247	446	1354
248	447	1350
249	449	1348
250	451	1346
251	452	1342
252	453	1338
253	454	1335
254	455	1332
255	456	1328
256	457	1324
257	459	1320
258	460	1316
259	461	1312
260	462	1309
261	463	1306
262	465	1303
263	466	1299
264	467	1295
265	468	1292
266	469	1288
267	470	1284
268	471	1280
269	472	1277
270	473	1274
271	474	1270
272	475	1266
273	476	1263
274	478	1260
275	479	1257
276	480	1254
277	481	1251
278	483	1248
279	484	1245
280	485	1241
281	486	1238
282	487	1234
283	488	1231
284	489	1228
285	491	1226
286	492	1223
287	493	1220
288	494	1217
289	496	1215
290	497	1211
291	498	1208
292	499	1204
293	500	1201
294	501	1197
295	502	1194
296	503	1190
297	504	1187
298	505	1185
299	507	1183
300	508	1181
301	509	1178
302	511	1175
303	512	1172
304	513	1169
305	514	1167
306	515	1164
307	516	1161
308	517	1158
309	518	1154
310	521	1154
311	522	1152
312	523	1149
313	524	1146
314	525	1143
315	527	1141
316	528	1137
317	529	1135
318	530	1131
319	531	1129
320	532	1125
321	533	1122
322	534	1119
323	535	1117
324	536	1114
325	537	1112
326	538	1109
327	540	1106
328	541	1104
329	542	1101
330	543	1098
331	544	1095
332	545	1092
333	546	1089
334	547	1086
335	548	1084
336	549	1081
337	551	1079
338	552	1077
339	553	1074
340	554	1071
341	555	1068
342	556	1065
343	557	1063
344	558	1060
345	559	1057
346	560	1055
347	561	1052
348	562	1049
349	563	1046
350	564	1044
351	566	1042
352	567	1039
353	568	1036
354	568	1033
355	570	1031
356	571	1028
357	572	1026
358	573	1023
359	574	1020
360	575	1018
361	576	1015
362	577	1013
363	579	1011
364	580	1009
365	581	1007
366	582	1004
367	583	1002
368	585	1000
369	586	997
370	586	995
371	587	992
372	588	989
373	589	987
374	590	984
375	591	982
376	593	980
377	594	978
378	596	976
379	597	974
380	598	971
381	599	969
382	600	967
383	601	965
384	602	962
385	603	960
386	604	957
387	605	955
388	606	952
389	607	950
390	609	948
391	610	947
392	611	944
393	612	942
394	613	940
395	614	937
396	615	935
397	616	933
398	618	931
399	619	928
400	620	926
401	621	924
402	622	921
403	623	919
404	624	917
405	625	915
406	626	913
407	628	911
408	629	909
409	630	907
410	631	904
411	632	902
412	633	900
413	634	898
414	635	895
415	636	893
416	637	891
417	639	890
418	640	887
419	641	885
420	642	883
421	643	881
422	644	878
423	645	877
424	646	875
425	647	873
426	648	870
427	649	868
428	651	866
429	652	864
430	653	863
431	654	861
432	655	858
433	657	856
434	658	854
435	659	852
436	660	850
437	661	848
438	662	846
439	663	844
440	664	842
441	665	840
442	667	838
443	669	837
444	670	835
445	671	833
446	672	831
447	673	829
448	674	827
449	675	825
450	676	823
451	677	821
452	678	819
453	679	817
454	680	815
455	681	813
456	683	811
457	684	809
458	685	807
459	686	805
460	687	803
461	688	801
462	689	799
463	690	797
464	691	795
465	692	793
466	693	791
467	694	789
468	695	787
469	696	785
470	698	784
471	699	782
472	700	780
473	701	778
474	702	776
475	703	774
476	704	772
477	705	770
478	706	768
479	707	766
480	708	764
481	709	762
482	710	760
483	712	759
484	713	757
485	714	755
486	715	753
487	716	751
488	717	749
489	718	747
490	719	746
491	720	744
492	721	742
493	722	740
494	723	738
495	724	736
496	727	735
497	728	734
498	729	732
499	730	730
500	731	728
501	731	726
502	732	724
503	733	722
504	734	720
505	735	718
506	736	716
507	737	714
508	739	713
509	741	712
510	742	710
511	743	709
512	746	708
513	747	706
514	748	704
515	749	702
516	750	700
517	751	698
518	752	697
519	753	695
520	754	693
521	755	691
522	756	690
523	757	688
524	759	686
525	760	685
526	761	683
527	762	681
528	763	679
529	764	678
530	765	676
531	766	674
532	767	672
533	769	671
534	770	669
535	771	667
536	772	666
537	773	664
538	774	662
539	775	660
540	776	658
541	778	657
542	779	655
543	780	654
544	781	652
545	782	650
546	784	649
547	785	648
548	786	646
549	787	644
550	788	642
551	790	641
552	791	639
553	792	637
554	793	636
555	794	634
556	795	632
557	796	630
558	797	628
559	798	627
560	799	625
561	801	624
562	802	622
563	802	620
564	804	619
565	805	617
566	806	616
567	807	614
568	809	612
569	810	611
570	811	609
571	812	607
572	813	606
573	815	604
574	816	603
575	817	601
576	818	599
577	819	598
578	820	596
579	821	595
580	823	593
581	824	592
582	825	590
583	826	588
584	828	587
585	829	585
586	830	584
587	831	582
588	832	580
589	833	579
590	834	577
591	835	575
592	836	574
593	837	572
594	838	570
595	839	569
596	840	567
597	842	566
598	843	564
599	844	563
600	845	561
601	846	559
602	847	558
603	848	556
604	849	554
605	850	553
606	851	551
607	852	549
608	853	548
609	854	546
610	856	545
611	857	543
612	859	542
613	860	540
614	861	539
615	862	537
616	863	536
617	864	534
618	865	532
619	866	531
620	868	529
621	868	528
622	869	526
623	871	525
624	872	523
625	874	522
626	875	520
627	877	519
628	878	517
629	878	516
630	879	514
631	880	512
632	881	511
633	882	509
634	883	507
635	884	506
636	886	505
637	887	503
638	888	502
639	889	500
640	891	499
641	892	497
642	893	496
643	894	494
644	895	492
645	896	491
646	897	489
647	898	488
648	900	486
649	901	485
650	902	484
651	903	482
652	905	480
653	906	479
654	907	477
655	908	476
656	909	474
657	910	473
658	911	471
659	912	470
660	913	468
661	914	467
662	916	465
663	918	464
664	919	463
665	920	461
666	921	460
667	922	458
668	923	456
669	924	455
670	925	453
671	926	452
672	927	450
673	928	449
674	930	447
675	931	446
676	932	444
677	933	443
678	934	441
679	935	440
680	936	438
681	937	437
682	938	435
683	940	434
684	941	432
685	942	431
686	944	430
687	945	428
688	946	427
689	948	425
690	949	424
691	950	422
692	951	421
693	952	419
694	953	418
695	954	416
696	955	415
697	956	413
698	957	412
699	959	411
700	960	409
701	961	408
702	962	406
703	963	405
704	964	403
705	965	402
706	966	400
707	967	399
708	968	397
709	970	396
710	971	394
711	972	393
712	974	392
713	975	390
714	976	389
715	977	387
716	979	386
717	980	385
718	981	383
719	982	381
720	983	380
721	984	379
722	986	377
723	987	376
724	989	375
725	990	373
726	991	372
727	992	370
728	993	369
729	995	368
730	996	366
731	997	365
732	998	363
733	999	362
734	1000	360
735	1002	359
736	1003	358
737	1004	356
738	1006	355
739	1007	353
740	1008	352
741	1009	350
742	1010	349
743	1011	347
744	1012	346
745	1013	345
746	1014	343
747	1016	342
748	1018	341
749	1020	340
750	1021	338
751	1022	337
752	1023	335
753	1024	334
754	1025	332
755	1026	331
756	1027	329
757	1028	328
758	1030	327
759	1031	325
760	1033	324
761	1034	323
762	1035	321
763	1036	320
764	1037	318
765	1038	317
766	1039	315
767	1040	314
768	1041	312
769	1042	311
770	1043	310
771	1044	308
772	1046	307
773	1047	305
774	1048	304
775	1049	303
776	1051	301
777	1052	300
778	1052	298
779	1053	297
780	1054	295
781	1055	294
782	1056	292
783	1057	291
784	1059	290
785	1060	288
786	1061	287
787	1063	286
788	1064	284
789	1065	283
790	1066	281
791	1067	280
792	1068	278
793	1069	277
794	1070	276
795	1071	274
796	1073	273
797	1074	271
798	1076	270
799	1077	269
800	1078	268
801	1080	266
802	1081	265
803	1082	263
804	1083	262
805	1084	261
806	1085	259
807	1087	258
808	1089	257
809	1090	255
810	1092	254
811	1095	253
812	1096	252
813	1097	250
814	1098	249
815	1101	248
816	1102	246
817	1103	245
818	1105	244
819	1107	243
820	1108	241
821	1110	240
822	1111	239
823	1112	237
824	1113	236
825	1114	234
826	1116	233
827	1117	232
828	1119	230
829	1120	229
830	1121	228
831	1122	226
832	1123	225
833	1124	223
834	1126	222
835	1127	221
836	1128	219
837	1129	218
838	1130	216
839	1132	215
840	1134	214
841	1135	213
842	1137	211
843	1138	210
844	1139	209
845	1140	207
846	1141	206
847	1142	204
848	1143	203
849	1146	202
850	1147	200
851	1149	199
852	1151	198
853	1152	197
854	1153	195
855	1154	194
856	1155	192
857	1156	191
858	1157	190
859	1158	188
860	1161	187
861	1163	186
862	1164	184
863	1165	183
864	1166	182
865	1167	180
866	1168	179
867	1170	177
868	1171	176
869	1172	175
870	1173	173
871	1174	172
872	1175	171
873	1177	169
874	1179	168
875	1180	167
876	1181	165
877	1181	164
878	1182	162
879	1183	161
880	1184	160
881	1185	158
882	1187	157
883	1188	156
884	1190	154
885	1191	153
886	1193	151
887	1194	150
888	1195	149
889	1196	147
890	1197	146
891	1198	145
892	1199	143
893	1200	142
894	1201	140
895	1202	139
896	1203	138
897	1205	136
898	1206	135
899	1207	134
900	1208	132
901	1209	131
902	1210	130
903	1211	128
904	1212	127
905	1213	125
906	1214	124
907	1215	123
908	1217	121
909	1218	120
910	1220	119
911	1221	117
912	1222	116
913	1223	115
914	1224	113
915	1225	112
916	1226	111
917	1227	109
918	1228	108
919	1229	106
920	1231	105
921	1232	104
922	1234	102
923	1235	101
924	1237	100
925	1238	98
926	1239	97
927	1240	96
928	1241	94
929	1242	93
930	1243	92
931	1244	90
932	1245	89
